iter	Accuracy	Logloss
0	0.7899352983	0.6773647209
1	0.7926671459	0.6623934835
2	0.7930984903	0.6484619357
3	0.7926671459	0.6349827598
4	0.7938173976	0.6222879164
5	0.7942487419	0.610790401
6	0.7943925234	0.599512041
7	0.7941049605	0.5892353735
8	0.793961179	0.5786037071
9	0.7935298347	0.5689472838
10	0.7933860532	0.5606327002
11	0.7941049605	0.5516118475
12	0.7933860532	0.5452839002
13	0.7935298347	0.5367005827
14	0.7943925234	0.529185055
15	0.7941049605	0.5221617903
16	0.7936736161	0.5172020854
17	0.7933860532	0.5125088789
18	0.7943925234	0.5066429018
19	0.7952552121	0.5023858181
20	0.7951114306	0.4982876713
21	0.7951114306	0.4946698947
22	0.7945363048	0.4907774501
23	0.7948238677	0.4874566547
24	0.7953989935	0.4842466874
25	0.7952552121	0.4818785558
26	0.7952552121	0.4788824705
27	0.7959741193	0.4748293214
28	0.7961179008	0.4706126789
29	0.7962616822	0.4686668833
30	0.7962616822	0.4652602968
31	0.7965492451	0.4627118973
32	0.7966930266	0.4598465853
33	0.797124371	0.4570256705
34	0.797124371	0.4547294866
35	0.797124371	0.4525504316
36	0.797124371	0.4502060353
37	0.7975557153	0.4479172444
38	0.7969805895	0.4455797543
39	0.7968368081	0.4440354475
40	0.7975557153	0.4418061825
41	0.7972681524	0.4402954954
42	0.7978432782	0.4391144934
43	0.798418404	0.4380288028
44	0.7987059669	0.436149922
45	0.7987059669	0.4341821125
46	0.798418404	0.4332616542
47	0.7987059669	0.4316832458
48	0.7985621855	0.4304360213
49	0.7994248742	0.4295263919
50	0.7997124371	0.4279437166
51	0.7997124371	0.4259793193
52	0.7994248742	0.4250792708
53	0.7997124371	0.4242012408
54	0.7995686556	0.4230958966
55	0.8	0.4222880947
56	0.8	0.4208353953
57	0.8	0.4198533863
58	0.8002875629	0.4183419685
59	0.8004313444	0.417482633
60	0.8002875629	0.4164050138
61	0.8008626887	0.414797077
62	0.8010064702	0.4142019922
63	0.8020129403	0.4133286297
64	0.8023005032	0.4129689537
65	0.8025880661	0.4122197473
66	0.8025880661	0.4111863693
67	0.8025880661	0.4109605044
68	0.8025880661	0.4101600658
69	0.8025880661	0.409219546
70	0.8030194105	0.4080742028
71	0.8038820992	0.4074281809
72	0.8046010065	0.4065117883
73	0.8046010065	0.4059334524
74	0.8051761323	0.4053769457
75	0.8053199137	0.4045832193
76	0.8058950395	0.4040743591
77	0.806038821	0.4032874889
78	0.8066139468	0.4026725052
79	0.8079079799	0.4022358084
80	0.8080517613	0.4014969546
81	0.8080517613	0.4008241151
82	0.8079079799	0.4003163793
83	0.8090582315	0.3998440124
84	0.8087706686	0.3994247024
85	0.8093457944	0.3989778991
86	0.8093457944	0.3982844497
87	0.8096333573	0.3976941033
88	0.8092020129	0.3974069011
89	0.8100647017	0.3970984812
90	0.8106398275	0.3964143291
91	0.810496046	0.3959944442
92	0.810496046	0.3956558231
93	0.8107836089	0.3953513762
94	0.8113587347	0.3947941442
95	0.8116462976	0.3945278303
96	0.8116462976	0.3937968073
97	0.8119338605	0.3933650141
98	0.8119338605	0.3928053201
99	0.8126527678	0.3922034586
100	0.8127965492	0.3917149832
101	0.8130841121	0.3912520508
102	0.8132278936	0.3909073592
103	0.8133716751	0.3904753917
104	0.8133716751	0.3900163537
105	0.8133716751	0.3898455972
106	0.8133716751	0.3896261789
107	0.813659238	0.3890595582
108	0.8138030194	0.388970278
109	0.8138030194	0.3886069881
110	0.813659238	0.3883356901
111	0.8139468009	0.3880672954
112	0.8140905823	0.3878073824
113	0.8139468009	0.3875826695
114	0.8139468009	0.3871848979
115	0.8139468009	0.3870502388
116	0.8142343638	0.3866611529
117	0.8145219267	0.3860696105
118	0.8146657081	0.3858016408
119	0.8146657081	0.3857175872
120	0.8148094896	0.3850839305
121	0.8153846154	0.3842791619
122	0.8156721783	0.3839284103
123	0.8155283968	0.3837227305
124	0.8153846154	0.3835158395
125	0.8153846154	0.3831123078
126	0.8162473041	0.3825436256
127	0.8168224299	0.382300216
128	0.8171099928	0.3819329083
129	0.8173975557	0.3816498808
130	0.8176851186	0.3814279572
131	0.8184040259	0.3808469079
132	0.8188353702	0.3804703843
133	0.8184040259	0.3802815386
134	0.8188353702	0.379953939
135	0.8182602444	0.3796912612
136	0.8192667146	0.3792844574
137	0.819410496	0.3789370539
138	0.819698059	0.3787092432
139	0.8198418404	0.3784572317
140	0.8205607477	0.378179487
141	0.8207045291	0.3778457073
142	0.820992092	0.377469994
143	0.8214234364	0.3771286958
144	0.8215672178	0.3766428133
145	0.8218547807	0.3764298326
146	0.8217109993	0.3762430771
147	0.8217109993	0.3755750451
148	0.8224299065	0.3752469751
149	0.8230050324	0.374716898
150	0.8234363767	0.3745375332
151	0.8228612509	0.3741826286
152	0.8230050324	0.3738283588
153	0.822573688	0.373664162
154	0.8231488138	0.3733001887
155	0.8232925953	0.3730974594
156	0.8235801582	0.3728590351
157	0.8234363767	0.3726597846
158	0.8240115025	0.3723760937
159	0.824155284	0.3721012058
160	0.824155284	0.3718508674
161	0.8240115025	0.3715690403
162	0.824155284	0.3714263022
163	0.8251617541	0.3711883269
164	0.8248741912	0.3710055469
165	0.8253055356	0.3707177575
166	0.8250179727	0.3705384432
167	0.8248741912	0.3703095947
168	0.8245866283	0.3700914457
169	0.8250179727	0.3696855725
170	0.8260244428	0.3693394751
171	0.8263120058	0.3690660684
172	0.8263120058	0.3689034099
173	0.8267433501	0.3686600365
174	0.8271746945	0.3681950348
175	0.8273184759	0.3678485423
176	0.8278936017	0.3676142348
177	0.8277498203	0.3674672948
178	0.8280373832	0.3672219122
179	0.8284687275	0.367133826
180	0.8283249461	0.36707223
181	0.8287562904	0.366811378
182	0.828612509	0.3664984328
183	0.8284687275	0.3658870288
184	0.8287562904	0.3655798333
185	0.8287562904	0.3654037596
186	0.8289000719	0.3652497423
187	0.828612509	0.3649683349
188	0.8289000719	0.3648449904
189	0.8287562904	0.3647916162
190	0.8287562904	0.3647029715
191	0.830194105	0.3643714727
192	0.8312005751	0.3640212705
193	0.8313443566	0.3638529135
194	0.8312005751	0.363548676
195	0.8313443566	0.3631807776
196	0.8319194824	0.363028218
197	0.8322070453	0.3628801444
198	0.8327821711	0.3626080987
199	0.8329259526	0.362421546
200	0.8329259526	0.362307021
201	0.8332135155	0.362127211
202	0.8333572969	0.3618613457
203	0.833069734	0.3617652857
204	0.833069734	0.361522842
205	0.833069734	0.3613517549
206	0.833069734	0.3612618316
207	0.8339324227	0.3610160195
208	0.8337886413	0.360607015
209	0.8335010784	0.3603838162
210	0.8335010784	0.3601708321
211	0.8343637671	0.3599209531
212	0.8342199856	0.3597509826
213	0.8340762042	0.359531894
214	0.83465133	0.3591682212
215	0.83465133	0.3590287541
216	0.8352264558	0.3587154633
