iter	Passed	Remaining
0	40	204510
1	66	166665
2	119	199823
3	169	212315
4	211	211028
5	259	216139
6	308	220063
7	357	222823
8	405	224719
9	454	226872
10	531	240845
11	576	239480
12	623	239055
13	668	238209
14	718	238824
15	768	239429
16	818	239971
17	867	240217
18	917	240425
19	967	240914
20	1019	241621
21	1067	241598
22	1116	241645
23	1164	241414
24	1190	236949
25	1216	232681
26	1267	233414
27	1319	234225
28	1373	235495
29	1423	235883
30	1473	236229
31	1525	236765
32	1575	237126
33	1625	237430
34	1673	237466
35	1722	237576
36	1771	237678
37	1828	238800
38	1878	239014
39	1938	240377
40	1988	240503
41	2037	240507
42	2086	240577
43	2137	240793
44	2186	240804
45	2235	240706
46	2284	240755
47	2339	241350
48	2389	241404
49	2438	241429
50	2488	241495
51	2537	241487
52	2604	243107
53	2654	243146
54	2704	243163
55	2753	243050
56	2801	242943
57	2850	242888
58	2901	242974
59	2950	242883
60	2998	242795
61	3046	242661
62	3095	242603
63	3161	243808
64	3211	243792
65	3260	243730
66	3308	243629
67	3357	243518
68	3407	243527
69	3458	243558
70	3508	243562
71	3557	243471
72	3607	243463
73	3663	243849
74	3713	243827
75	3762	243774
76	3811	243714
77	3861	243644
78	3886	242098
79	3936	242079
80	3984	241951
81	4032	241870
82	4081	241800
83	4130	241727
84	4179	241662
85	4228	241623
86	4278	241640
87	4328	241622
88	4378	241583
89	4427	241538
90	4477	241512
91	4526	241482
92	4576	241493
93	4625	241426
94	4673	241323
95	4723	241283
96	4773	241269
97	4823	241260
98	4872	241198
99	4920	241107
100	4969	241044
101	5018	241003
102	5098	242381
103	5159	242879
104	5207	242784
105	5258	242790
106	5308	242753
107	5358	242739
108	5407	242656
109	5457	242601
110	5506	242525
111	5556	242494
112	5606	242459
113	5655	242408
114	5703	242286
115	5759	242505
116	5809	242458
117	5859	242433
118	5908	242364
119	5956	242232
120	6005	242170
121	6055	242127
122	6103	241999
123	6152	241939
124	6206	242046
125	6257	242052
126	6319	242461
127	6369	242433
128	6418	242370
129	6468	242338
130	6517	242237
131	6566	242172
132	6617	242150
133	6667	242127
134	6717	242079
135	6771	242181
136	6820	242118
137	6846	241219
138	6894	241108
139	6945	241100
140	6994	241047
141	7044	240996
142	7093	240933
143	7149	241110
144	7198	241023
145	7248	240973
146	7295	240861
147	7345	240823
148	7393	240712
149	7441	240611
150	7507	241090
151	7563	241238
152	7697	243848
153	7767	244424
154	7815	244297
155	7877	244615
156	7928	244560
157	7964	244069
158	8014	244024
159	8065	243981
160	8115	243910
161	8165	243850
162	8215	243785
163	8265	243740
164	8313	243610
165	8364	243571
166	8414	243509
167	8465	243474
168	8516	243441
169	8566	243401
170	8616	243338
171	8666	243259
172	8717	243238
173	8767	243167
174	8817	243114
175	8864	242978
176	8913	242882
177	8963	242832
178	9014	242789
179	9063	242709
180	9112	242604
181	9160	242509
182	9210	242445
183	9261	242418
184	9311	242343
185	9361	242280
186	9409	242191
187	9459	242134
188	9510	242088
189	9561	242065
190	9611	242000
191	9658	241876
192	9708	241805
193	9759	241765
194	9808	241687
195	9858	241625
196	9908	241570
197	9958	241517
198	10008	241463
199	10058	241413
200	10109	241374
201	10171	241605
202	10217	241448
203	10269	241426
204	10320	241408
205	10376	241482
206	10430	241504
207	10484	241543
208	10535	241516
209	10586	241465
210	10637	241430
211	10687	241367
212	10697	240406
213	10744	240302
214	10816	240732
215	10870	240752
216	10918	240651
217	10961	240449
218	11009	240340
219	11062	240347
220	11113	240319
221	11164	240292
222	11214	240226
223	11263	240150
224	11334	240534
225	11398	240776
226	11449	240740
227	11498	240656
228	11548	240591
229	11600	240574
230	11650	240531
231	11702	240507
232	11753	240477
233	11803	240416
234	11855	240396
235	11914	240518
236	11970	240576
237	12019	240493
238	12090	240855
239	12141	240797
240	12191	240742
241	12241	240681
242	12291	240616
243	12342	240582
244	12391	240502
245	12440	240419
246	12491	240369
247	12541	240317
248	12591	240242
249	12640	240171
250	12691	240123
251	12741	240057
252	12791	240003
253	12817	239496
254	12866	239424
255	12921	239444
256	12971	239400
257	13022	239347
258	13055	238974
259	13103	238890
260	13153	238824
261	13203	238763
262	13253	238706
263	13302	238646
264	13335	238282
265	13390	238308
266	13439	238242
267	13490	238192
268	13540	238133
269	13590	238077
270	13645	238125
271	13695	238054
272	13746	238014
273	13797	237979
274	13847	237920
275	13897	237862
276	13945	237780
277	13995	237729
278	14047	237692
279	14097	237645
280	14146	237569
281	14195	237504
