iter	Accuracy	Logloss
0	0.7892163911	0.6765080517
1	0.7928109274	0.6612529461
2	0.7948238677	0.6479321155
3	0.7942487419	0.6349212736
4	0.7938173976	0.623831645
5	0.7930984903	0.6116346098
6	0.7928109274	0.6010404746
7	0.7932422717	0.5913657876
8	0.7928109274	0.5812006471
9	0.7933860532	0.5725245985
10	0.7930984903	0.5636780347
11	0.7929547088	0.5551970974
12	0.7925233645	0.5479018671
13	0.7929547088	0.5403609595
14	0.7925233645	0.5342303676
15	0.7928109274	0.5284753946
16	0.7933860532	0.5218539035
17	0.7935298347	0.5163616562
18	0.7946800863	0.5102217
19	0.7945363048	0.5053748064
20	0.793961179	0.5002742781
21	0.793961179	0.4967910906
22	0.7948238677	0.4930504993
23	0.7949676492	0.489840072
24	0.7943925234	0.4861235352
25	0.7945363048	0.4823450539
26	0.7945363048	0.4794793263
27	0.7943925234	0.4762387553
28	0.7945363048	0.4747108537
29	0.7943925234	0.4709900789
30	0.7949676492	0.4684261783
31	0.7953989935	0.4641134274
32	0.795542775	0.4617110528
33	0.7958303379	0.4601504028
34	0.7959741193	0.4576591176
35	0.7965492451	0.4556270938
36	0.7961179008	0.4528443675
37	0.7962616822	0.4509090279
38	0.7965492451	0.4489183056
39	0.7966930266	0.446821909
40	0.7968368081	0.4453220387
41	0.7968368081	0.443901286
42	0.7975557153	0.4417056815
43	0.7976994968	0.4398233041
44	0.7974119339	0.4375048755
45	0.7975557153	0.4360375753
46	0.7982746226	0.4342176879
47	0.798418404	0.4324752358
48	0.7987059669	0.4310821221
49	0.7987059669	0.4300528679
50	0.7982746226	0.4292279413
51	0.7978432782	0.4283533186
52	0.7982746226	0.4269927813
53	0.7985621855	0.425935244
54	0.7988497484	0.4245382216
55	0.7988497484	0.4232559497
56	0.7992810927	0.4216940867
57	0.7992810927	0.4202268936
58	0.7991373113	0.4188384338
59	0.7995686556	0.4177758146
60	0.7997124371	0.4168903692
61	0.8007189073	0.4162068186
62	0.8010064702	0.414858612
63	0.8017253774	0.413594122
64	0.8024442847	0.4122165072
65	0.8027318476	0.4111209217
66	0.8035945363	0.41011756
67	0.8037383178	0.4093714255
68	0.8041696621	0.4082426952
69	0.8041696621	0.4075722331
70	0.8046010065	0.4066484341
71	0.8048885694	0.4057812341
72	0.8051761323	0.4047670459
73	0.806038821	0.4039288933
74	0.806038821	0.4033232693
75	0.8064701653	0.402737145
76	0.8064701653	0.4020767061
77	0.8067577283	0.4014722861
78	0.8066139468	0.4007182955
79	0.8067577283	0.4001626714
80	0.8069015097	0.3996699439
81	0.807620417	0.398870497
82	0.807620417	0.3977612703
83	0.8080517613	0.3971931586
84	0.8086268871	0.3966559671
85	0.8087706686	0.3962055939
86	0.8097771387	0.3955767977
87	0.8117900791	0.3949578888
88	0.8115025162	0.394452226
89	0.812077642	0.3939499964
90	0.8122214234	0.393515614
91	0.8129403307	0.39309344
92	0.8129403307	0.3925155392
93	0.8133716751	0.391994158
94	0.8139468009	0.39149641
95	0.8140905823	0.3911946534
96	0.8132278936	0.3907094915
97	0.813659238	0.3902897564
98	0.813659238	0.3898780762
99	0.8145219267	0.3893746313
100	0.8142343638	0.3891543523
101	0.8143781452	0.3886609221
102	0.8148094896	0.3881825944
103	0.8142343638	0.3878341291
104	0.8143781452	0.387464771
105	0.8152408339	0.3870336039
106	0.8152408339	0.386844032
107	0.8156721783	0.3864167503
108	0.8153846154	0.385986989
109	0.8153846154	0.3857488451
110	0.8155283968	0.3855049368
111	0.8155283968	0.3851712225
112	0.8155283968	0.3849978257
113	0.8158159597	0.3848107195
114	0.8163910855	0.3844003933
115	0.8163910855	0.384045604
116	0.8162473041	0.3835447363
117	0.8168224299	0.3831504625
118	0.8166786485	0.3826313874
119	0.8168224299	0.3824041202
120	0.8172537743	0.3820469421
121	0.8171099928	0.3813960256
122	0.8172537743	0.3813016963
123	0.8178289001	0.3810331186
124	0.818116463	0.3805081627
125	0.8185478073	0.3803512417
126	0.8184040259	0.3800360722
127	0.8188353702	0.3797154766
128	0.8185478073	0.3793822174
129	0.819410496	0.3790174687
130	0.8198418404	0.3787303421
131	0.8202731848	0.3784425115
132	0.8204169662	0.3782542599
133	0.8208483106	0.3780882947
134	0.8212796549	0.3779222642
135	0.8208483106	0.3777270347
136	0.8215672178	0.3775231785
137	0.8217109993	0.377225564
138	0.8219985622	0.376854375
139	0.8208483106	0.3764923056
140	0.820992092	0.3760609437
141	0.820992092	0.3758265688
142	0.8212796549	0.3755336712
143	0.8217109993	0.375452043
144	0.8218547807	0.3751963071
145	0.8218547807	0.375196303
146	0.8215672178	0.3749489174
147	0.8211358735	0.3748746717
148	0.8218547807	0.3747438065
149	0.8217109993	0.3745732386
150	0.8215672178	0.3742410229
151	0.8221423436	0.3738770753
152	0.8228612509	0.3736311005
153	0.8231488138	0.3733239818
154	0.8230050324	0.3730899551
155	0.8234363767	0.372867548
156	0.8234363767	0.3727527963
157	0.8232925953	0.3724295893
158	0.8232925953	0.372287016
159	0.8237239396	0.3719986799
160	0.8237239396	0.3717717415
161	0.8247304098	0.3714605947
162	0.8253055356	0.3712058614
163	0.8255930985	0.3707692612
164	0.8260244428	0.3704461748
165	0.8265995687	0.3702554192
166	0.827030913	0.3698248767
167	0.8273184759	0.3697320541
168	0.8280373832	0.3693563092
169	0.8280373832	0.3693492397
170	0.828612509	0.3691163639
171	0.8290438533	0.3687837634
172	0.8287562904	0.3687022899
173	0.8291876348	0.3685326302
174	0.8290438533	0.3684080654
175	0.8291876348	0.3683041893
176	0.8294751977	0.3681043225
177	0.8294751977	0.3681043205
178	0.8293314162	0.3680737545
179	0.8293314162	0.367993538
180	0.8297627606	0.3678169112
181	0.8297627606	0.3678168852
182	0.830194105	0.3676999146
183	0.830194105	0.3674686994
184	0.8304816679	0.3674232536
185	0.8309130122	0.3672830423
186	0.8309130122	0.3671319436
187	0.8306254493	0.3668677272
188	0.8304816679	0.3665971333
189	0.8303378864	0.3663490881
190	0.8306254493	0.3663178708
191	0.830194105	0.3662117736
192	0.830194105	0.3661942568
193	0.8304816679	0.365961195
194	0.8304816679	0.3658408564
195	0.8306254493	0.3656902727
196	0.8306254493	0.3655101619
197	0.8306254493	0.3653752089
198	0.8306254493	0.3653708327
199	0.8304816679	0.3652240004
200	0.8306254493	0.365141658
201	0.8306254493	0.365028237
202	0.8312005751	0.3649101378
203	0.8312005751	0.3648121052
204	0.8313443566	0.3645936618
205	0.831488138	0.3645661781
206	0.8316319195	0.3643853195
207	0.8313443566	0.3641459283
208	0.8313443566	0.3640597129
209	0.8316319195	0.3639171157
210	0.8323508267	0.3634246854
211	0.8335010784	0.3631682704
212	0.8336448598	0.3630541127
213	0.833069734	0.3629592218
214	0.8333572969	0.3625775991
215	0.8333572969	0.3624436142
216	0.8335010784	0.3623647154
217	0.8335010784	0.3621671989
218	0.8333572969	0.3621504044
219	0.8332135155	0.3620574384
220	0.833069734	0.3620100723
221	0.8333572969	0.3617916357
222	0.8332135155	0.3616155273
223	0.8333572969	0.3614381706
224	0.8335010784	0.3612968596
225	0.8333572969	0.3611259948
226	0.8337886413	0.3608656587
227	0.8337886413	0.3608229596
228	0.8340762042	0.3606881164
229	0.8337886413	0.3604559857
230	0.8337886413	0.3604421603
231	0.8337886413	0.3604401198
232	0.8339324227	0.3603030049
233	0.8340762042	0.3601615375
234	0.8336448598	0.3597538452
235	0.8337886413	0.359599255
236	0.8345075485	0.3594829706
237	0.83465133	0.3593664114
238	0.8343637671	0.3591735476
239	0.83465133	0.3590451821
240	0.8345075485	0.3588828459
241	0.8337886413	0.3586714593
242	0.8342199856	0.3585050315
243	0.8342199856	0.3583885566
244	0.8352264558	0.3582424034
245	0.8353702372	0.3581193139
246	0.8349388929	0.3579730866
247	0.8352264558	0.3575358733
248	0.8349388929	0.3574011336
