iter	Passed	Remaining
0	38	194037
1	84	210524
2	131	219690
3	176	220949
4	214	214304
5	260	216490
6	305	218042
7	351	219071
8	398	220781
9	464	231786
10	511	232144
11	558	232286
12	605	232451
13	652	232558
14	698	232100
15	750	233737
16	795	233181
17	841	232902
18	886	232491
19	931	231946
20	977	231821
21	1022	231388
22	1066	230779
23	1108	229843
24	1156	230181
25	1202	230006
26	1248	229992
27	1294	229829
28	1310	224607
29	1356	224771
30	1402	224798
31	1448	224850
32	1492	224611
33	1536	224446
34	1583	224594
35	1629	224711
36	1674	224661
37	1720	224599
38	1766	224677
39	1819	225606
40	1864	225525
41	1910	225496
42	1956	225533
43	2002	225552
44	2054	226263
45	2101	226365
46	2148	226364
47	2193	226294
48	2238	226210
49	2284	226199
50	2330	226161
51	2375	226073
52	2420	225906
53	2464	225750
54	2508	225566
55	2555	225619
56	2600	225556
57	2647	225579
58	2692	225453
59	2737	225380
60	2784	225444
61	2828	225305
62	2875	225346
63	2920	225211
64	2964	225084
65	3010	225091
66	3057	225127
67	3102	225048
68	3147	224923
69	3192	224876
70	3241	225063
71	3287	225001
72	3332	224894
73	3377	224842
74	3425	224918
75	3472	224960
76	3520	225067
77	3567	225107
78	3612	225032
79	3659	225030
80	3704	224953
81	3749	224893
82	3796	224889
83	3842	224895
84	3889	224899
85	3939	225084
86	3986	225102
87	4031	225052
88	4079	225125
89	4126	225099
90	4173	225122
91	4217	224978
92	4282	225959
93	4325	225774
94	4365	225419
95	4410	225325
96	4458	225339
97	4507	225443
98	4552	225356
99	4597	225293
100	4643	225226
101	4688	225160
102	4734	225094
103	4781	225092
104	4828	225095
105	4874	225058
106	4905	224333
107	4950	224253
108	4996	224218
109	5043	224188
110	5089	224153
111	5134	224097
112	5179	224006
113	5224	223915
114	5270	223898
115	5314	223778
116	5361	223748
117	5408	223779
118	5455	223782
119	5501	223708
120	5547	223700
121	5592	223611
122	5636	223501
123	5682	223439
124	5732	223580
125	5778	223518
126	5823	223439
127	5870	223427
128	5916	223414
129	5960	223301
130	6006	223236
131	6051	223170
132	6097	223131
133	6141	223018
134	6188	222998
135	6236	223036
136	6282	223001
137	6327	222936
138	6372	222843
139	6416	222754
140	6462	222707
141	6508	222652
142	6552	222552
143	6595	222406
144	6638	222289
145	6660	221453
146	6716	221732
147	6777	222196
148	6822	222114
149	6867	222054
150	6913	222010
151	6963	222111
152	7009	222062
153	7057	222092
154	7104	222059
155	7151	222057
156	7197	222008
157	7242	221955
158	7288	221920
159	7333	221843
160	7379	221796
161	7424	221718
162	7475	221824
163	7523	221842
164	7567	221758
165	7614	221726
166	7659	221656
167	7691	221215
168	7741	221299
169	7758	220422
170	7802	220344
171	7849	220337
172	7896	220312
173	7941	220270
174	7988	220248
175	8032	220170
176	8079	220149
177	8095	219317
178	8150	219522
179	8197	219515
180	8243	219486
181	8265	218808
182	8311	218772
183	8365	218962
184	8396	218531
185	8442	218500
186	8492	218577
187	8540	218591
188	8588	218629
189	8636	218642
190	8682	218598
191	8730	218620
192	8768	218401
193	8816	218408
194	8861	218366
195	8907	218315
196	8952	218277
197	9001	218309
198	9017	217549
199	9064	217555
200	9106	217433
201	9152	217397
202	9200	217414
203	9245	217368
204	9291	217339
205	9338	217321
206	9383	217263
207	9429	217251
208	9451	216671
209	9498	216650
210	9543	216603
211	9588	216552
212	9639	216647
213	9686	216625
214	9741	216811
215	9793	216916
216	9840	216892
217	9886	216869
218	9903	216200
219	9953	216257
220	9998	216210
221	10051	216340
222	10098	216328
223	10144	216290
224	10189	216241
225	10239	216301
226	10285	216257
227	10330	216225
228	10376	216190
229	10424	216195
230	10448	215711
231	10464	215063
232	10514	215114
233	10560	215096
234	10606	215058
235	10652	215028
236	10697	214988
237	10745	214998
238	10793	215003
239	10837	214947
240	10883	214918
241	10930	214902
242	10975	214863
243	11021	214829
244	11066	214785
245	11113	214768
246	11164	214835
247	11211	214817
248	11256	214769
249	11299	214697
250	11345	214656
251	11393	214661
252	11438	214625
253	11494	214781
254	11539	214732
255	11586	214711
256	11631	214662
257	11677	214632
258	11722	214583
259	11769	214564
260	11817	214566
261	11862	214521
262	11906	214457
263	11950	214390
264	11995	214326
265	12042	214313
266	12088	214284
267	12135	214265
268	12181	214247
269	12226	214198
270	12270	214126
271	12315	214071
272	12359	214011
273	12375	213460
274	12421	213422
275	12468	213405
276	12524	213548
277	12568	213485
278	12614	213458
279	12662	213461
280	12708	213414
281	12754	213397
282	12801	213378
283	12847	213338
284	12894	213325
285	12940	213288
286	12986	213256
287	13033	213235
288	13079	213208
289	13125	213170
290	13170	213128
291	13217	213103
292	13263	213079
293	13312	213083
294	13361	213101
295	13407	213074
296	13455	213063
297	13501	213031
298	13547	212992
299	13593	212970
300	13639	212932
301	13685	212899
302	13732	212882
303	13779	212858
304	13824	212805
305	13870	212764
306	13916	212732
307	13962	212701
308	14012	212729
309	14059	212703
310	14105	212664
311	14150	212625
312	14197	212600
313	14242	212554
314	14293	212593
315	14339	212556
316	14386	212523
317	14432	212487
318	14477	212437
319	14546	212749
320	14588	212639
321	14629	212541
322	14674	212486
323	14720	212444
324	14768	212435
325	14815	212422
326	14863	212400
327	14909	212365
328	14954	212320
329	15000	212278
330	15054	212355
331	15100	212319
332	15147	212290
333	15199	212332
334	15243	212273
335	15290	212246
336	15353	212441
337	15401	212434
338	15446	212373
339	15476	212117
340	15492	211664
341	15542	211690
342	15588	211645
343	15636	211631
344	15679	211564
345	15723	211492
346	15747	211165
347	15793	211119
348	15838	211078
349	15883	211018
350	15927	210959
351	15970	210887
352	16017	210860
353	16040	210515
354	16084	210464
355	16129	210410
356	16176	210379
357	16221	210340
358	16266	210290
359	16289	209949
360	16334	209905
361	16379	209859
362	16424	209805
363	16470	209775
364	16516	209737
365	16562	209703
366	16608	209668
367	16662	209725
368	16707	209679
369	16753	209648
370	16799	209605
371	16846	209585
372	16891	209534
373	16935	209475
374	16980	209425
375	17012	209213
376	17058	209186
377	17106	209170
378	17151	209119
379	17197	209079
380	17241	209021
381	17288	208997
382	17333	208958
383	17356	208637
384	17400	208582
385	17448	208572
386	17495	208539
387	17540	208494
388	17585	208452
389	17630	208397
390	17677	208374
391	17733	208463
392	17781	208451
393	17828	208424
394	17873	208378
395	17918	208325
396	17962	208266
397	18007	208218
398	18053	208183
399	18098	208132
400	18145	208110
401	18193	208096
402	18241	208077
403	18287	208041
404	18332	207997
405	18379	207974
406	18428	207966
407	18474	207928
408	18521	207908
409	18569	207891
410	18618	207885
411	18665	207860
412	18712	207833
413	18760	207817
414	18807	207788
415	18854	207759
416	18905	207781
417	18952	207757
418	19000	207736
419	19047	207711
420	19097	207709
421	19144	207685
422	19223	208004
423	19287	208154
424	19334	208126
425	19380	208089
426	19428	208068
427	19475	208038
428	19521	208001
429	19568	207968
430	19614	207932
431	19660	207896
432	19709	207885
433	19755	207841
434	19801	207806
435	19847	207756
436	19892	207712
437	19938	207671
438	19985	207636
439	20032	207604
440	20076	207548
441	20121	207501
